,Factor
Alfalfa meal and pellets,1
Almonds shelled,1
"Almonds, with shell",1
"Anise, badian, fennel, coriander",1
Apples,1
Apricots,1
"Apricots, dry",1
Areca nuts,1
Artichokes,1
Asparagus,1
Avocados,1
Bambara beans,1
Bananas,1
Barley,1
"Barley, pearled",1
"Beans, dry",1
"Beans, green",1
Beer of barley,1
Beer of sorghum,1
Beet pulp,1
"Beverages, distilled alcoholic",1
"Beverages, fermented rice",1
"Beverages, non alcoholic",1
Blueberries,1
"Bran, buckwheat",1
"Bran, fonio",1
"Bran, maize",1
"Bran, millet",1
"Bran, sorghum",1
"Bran, wheat",1
"Brazil nuts, shelled",1
Bread,1
"Broad beans, horse beans, dry",1
Buckwheat,1
Bulgur,1
Butter of karite nuts,1
Cabbages and other brassicas,1
"Cake, copra",1
"Cake, cottonseed",1
"Cake, groundnuts",1
"Cake, hempseed",1
"Cake, kapok",1
"Cake, linseed",1
"Cake, maize",1
"Cake, mustard",1
"Cake, palm kernel",1
"Cake, rapeseed",1
"Cake, rice bran",1
"Cake, safflower",1
"Cake, sesame seed",1
"Cake, soybeans",1
"Cake, sunflower",1
Canary seed,1
Carrots and turnips,1
"Cashew nuts, shelled",1
"Cashew nuts, with shell",1
Cashewapple,1
Cassava,1
Cassava dried,1
Cauliflowers and broccoli,1
Cereal preparations nes,1
"Cereals, breakfast",1
Cherries,1
"Cherries, sour",1
Chestnut,1
Chick peas,1
"Chillies and peppers, dry",1
"Chillies and peppers, green",1
Chocolate products nes,1
Cider etc,1
Cinnamon (cannella),1
Cloves,1
"Cocoa, beans",1
"Cocoa, butter",1
"Cocoa, paste",1
"Cocoa, powder & cake",1
Coconuts,1
"Coconuts, desiccated",1
"Coffee, extracts",1
"Coffee, green",1
"Coffee, husks and skins",1
"Coffee, roasted",1
"Coffee, substitutes containing coffee",1
Cranberries,1
Cucumbers and gherkins,1
Currants,1
Dates,1
"Dregs from brewing, distillation",1
Eggplants (aubergines),1
Fatty acids,1
Fatty substance residues,1
Figs,1
Figs dried,1
"Flour, cassava",1
"Flour, cereals",1
"Flour, fonio",1
"Flour, maize",1
"Flour, mixed grain",1
"Flour, mustard",1
"Flour, potatoes",1
"Flour, pulses",1
"Flour, rice",1
"Flour, roots and tubers nes",1
"Flour, wheat",1
Fonio,1
Food prep nes,1
"Food preparations, flour, malt extract",1
"Fructose and syrup, other",1
"Fruit, cooked, homogenized preparations",1
"Fruit, dried nes",1
"Fruit, fresh nes",1
"Fruit, prepared nes",1
"Fruit, tropical fresh nes",1
Garlic,1
"Germ, maize",1
Ginger,1
Glucose and dextrose,1
Gooseberries,1
"Grain, mixed",1
Grapefruit (inc. pomelos),1
Grapes,1
"Groundnuts, prepared",1
"Groundnuts, shelled",1
"Hazelnuts, shelled",1
"Hazelnuts, with shell",1
Hops,1
Infant food,1
"Juice, apple, concentrated",1
"Juice, apple, single strength",1
"Juice, citrus, concentrated",1
"Juice, citrus, single strength",1
"Juice, fruit nes",1
"Juice, grape",1
"Juice, grapefruit",1
"Juice, grapefruit, concentrated",1
"Juice, lemon, concentrated",1
"Juice, lemon, single strength",1
"Juice, orange, concentrated",1
"Juice, orange, single strength",1
"Juice, pineapple",1
"Juice, pineapple, concentrated",1
"Juice, plum, concentrated",1
"Juice, plum, single strength",1
"Juice, tomato",1
Karite nuts (sheanuts),1
Kiwi fruit,1
Kola nuts,1
"Leeks, other alliaceous vegetables",1
Lemons and limes,1
Lentils,1
Lettuce and chicory,1
Linseed,1
Macaroni,1
Maize,1
"Maize, green",1
Malt,1
"Mangoes, mangosteens, guavas",1
Maple sugar and syrups,1
"Margarine, liquid",1
"Margarine, short",1
Mate,1
"Melons, other (inc.cantaloupes)",1
Millet,1
Mixes and doughs,1
Molasses,1
Mushrooms and truffles,1
"Mushrooms, canned",1
Mustard seed,1
"Nutmeg, mace and cardamoms",1
Nuts nes,1
"Nuts, prepared (exc. groundnuts)",1
Oats,1
Oats rolled,1
"Oil, boiled etc",1
"Oil, castor beans",1
"Oil, citronella",1
"Oil, coconut (copra)",1
"Oil, cottonseed",1
"Oil, essential nes",1
"Oil, groundnut",1
"Oil, kapok",1
"Oil, linseed",1
"Oil, maize",1
"Oil, olive residues",1
"Oil, olive, virgin",1
"Oil, palm",1
"Oil, palm kernel",1
"Oil, poppy",1
"Oil, rapeseed",1
"Oil, rice bran",1
"Oil, safflower",1
"Oil, sesame",1
"Oil, soybean",1
"Oil, sunflower",1
"Oil, vegetable origin nes",1
Oilseeds nes,1
Olives,1
Olives preserved,1
"Onions, dry",1
"Onions, shallots, green",1
Oranges,1
Papayas,1
Pastry,1
Peaches and nectarines,1
Peanut butter,1
Pears,1
"Peas, dry",1
"Peas, green",1
Pepper (piper spp.),1
Peppermint,1
Persimmons,1
Pineapples,1
Pineapples canned,1
Pistachios,1
Plantains and others,1
Plums and sloes,1
Plums dried (prunes),1
Popcorn,1
Poppy seed,1
Potato offals,1
Potatoes,1
"Potatoes, frozen",1
"Pumpkins, squash and gourds",1
"Pyrethrum, dried",1
"Pyrethrum, extraction",1
Quinces,1
Quinoa,1
Raisins,1
Rapeseed,1
Rice - total (Rice milled equivalent),1
"Rice, broken",1
"Rice, husked",1
"Rice, milled",1
Roots and tubers nes,1
Rye,1
Sesame seed,1
Sorghum,1
Soya curd,1
Soya paste,1
Soya sauce,1
Soybeans,1
Spices nes,1
Spinach,1
"Starch, cassava",1
Strawberries,1
Sugar Raw Centrifugal,1
Sugar beet,1
Sugar confectionery,1
Sugar crops nes,1
Sugar flavoured,1
Sugar nes,1
Sugar non-centrifugal,1
Sugar refined,1
Sunflower seed,1
Sweet corn frozen,1
Sweet corn prep or preserved,1
Sweet potatoes,1
"Tangerines, mandarins, clementines, satsumas",1
Tea,1
"Tea, mate extracts",1
Tomatoes,1
"Tomatoes, paste",1
"Tomatoes, peeled",1
Triticale,1
Vanilla,1
Vegetable tallow,1
Vegetables in vinegar,1
"Vegetables, canned nes",1
"Vegetables, dehydrated",1
"Vegetables, dried nes",1
"Vegetables, fresh nes",1
