Year,Animal,Vegetal,Sum,Animal Trade Correction,Animal Transport Correction,Vegetal Trade Correction,Vegetal Transport Correction,Animal Corrected,Vegetal Corrected,Sum Corrected,Country
2000,3363.1039066666663,1242.6544533333333,4605.75836,-4.807180943666063,0.5218743228643794,21.356685429783326,28.29251618173979,3358.8186000458645,1292.3036549448564,4651.122254990721,Austria
2001,3336.1382,1256.0508666666667,4592.189066666667,-5.820659799507575,0.4413812560233609,33.65218514222884,17.802875906833478,3330.7589214565155,1307.5059277157288,4638.264849172245,Austria
2002,3288.865373333333,1467.9180333333336,4756.783406666666,-5.9226773654933735,0.49279443903472575,21.275949972643062,3.5873434288890054,3283.4354904068746,1492.7813267348656,4776.21681714174,Austria
2003,3200.8231066666667,1985.2263266666666,5186.049433333334,-2.0891429699402355,0.6500485648242071,30.829339722028497,3.7270347820030776,3199.3840122615507,2019.7827011706981,5219.166713432249,Austria
2004,3145.9088733333338,1145.4243400000003,4291.333213333334,-8.803510584898849,0.544992402737886,16.564868646811767,4.204531387488703,3137.650355151173,1166.1937400343008,4303.844095185474,Austria
2005,3135.3369866666662,1150.1235199999999,4285.460506666666,-11.302569414990261,0.638569456466203,4.64397184259028,3.7438641689939964,3124.672986708142,1158.511356011584,4283.184342719726,Austria
2006,3092.7961333333337,1118.5239333333334,4211.320066666667,-9.546819744093918,0.6267963464421267,21.661612103920522,3.6721200611186435,3083.8761099356816,1143.8576654983726,4227.733775434054,Austria
2007,3071.210106666666,1054.9209133333334,4126.131019999999,-13.079775097726396,0.37476756887852614,61.61959313489998,2.5267463577410707,3058.5050991378184,1119.0672528259745,4177.572351963793,Austria
2008,3090.192246666667,1103.9347066666667,4194.126953333333,-15.494658357060079,0.3752313225852487,71.95932039072838,4.33596637890775,3075.072819632192,1180.2299934363027,4255.302813068494,Austria
2009,3069.9927133333335,1055.305466666667,4125.298180000001,-13.15474280408286,0.403259788701807,26.434398617025,3.7803748214324577,3057.241230317952,1085.5202401051242,4142.761470423076,Austria
2010,3111.8391866666666,1082.6466266666666,4194.485813333333,-15.675198792162314,0.3672859369664918,42.48458896689071,2.945965660429603,3096.531273811471,1128.077181293987,4224.608455105457,Austria
