Year,Animal,Vegetal,Sum
2000,4588.64027417515,4619.676538513008,9208.316812688157
2001,4553.23291270792,4612.553332384784,9165.786245092704
2002,4362.229131868167,4419.060444241457,8781.289576109624
2003,4179.666465500152,4231.779303168471,8411.445768668624
2004,4097.831543502152,4154.120367215665,8251.951910717817
2005,4032.5159074581943,4088.2456156065587,8120.761523064753
2006,3961.6462924270145,4040.8979844322457,8002.54427685926
2007,3943.4198926381423,4010.598075789062,7954.017968427204
2008,3907.102429982119,3973.332056302571,7880.43448628469
2009,3914.3072914896056,4006.127663471849,7920.434954961454
2010,3881.2479124519296,3995.6801582642747,7876.928070716204
2011,3842.917281549126,3945.882843826741,7788.800125375867
2012,3776.958299765897,3885.3705608133273,7662.328860579224
2013,3717.233920292056,3812.247468344445,7529.481388636501
2014,3780.568277374587,3858.7414058881027,7639.30968326269
2015,3806.3217940676595,3908.522464411171,7714.84425847883
2016,3786.516512965225,3899.6218332524263,7686.138346217651
2017,3650.506094088767,3772.9943577931567,7423.500451881924
