Year,Animal,Vegetal,Sum
2000,2679.734647866127,2665.5114464538697,5345.246094319997
2001,2700.0901604344094,2699.002571344497,5399.092731778906
2002,2671.273854718377,2667.0110526229423,5338.28490734132
2003,2632.259411830177,2622.1994623486357,5254.458874178813
2004,2587.0810947912337,2589.1947974446825,5176.275892235916
2005,2613.4148354823133,2595.4434428020454,5208.858278284359
2006,2627.4749770394124,2611.094201326224,5238.569178365637
2007,2622.8186115868493,2612.2229402710004,5235.04155185785
2008,2682.1978338816684,2659.4597317519197,5341.657565633588
2009,2640.509740930105,2613.12483460187,5253.634575531975
2010,2638.1067308275415,2608.394010773293,5246.500741600834
2011,2618.367961465511,2591.3022803273575,5209.670241792868
2012,2596.4183056427655,2589.0068031741343,5185.4251088169
2013,2569.53420334336,2563.2771024618264,5132.811305805186
2014,2564.82086321212,2559.428350789427,5124.249214001547
2015,2541.0525153302337,2535.6989300364016,5076.751445366635
2016,2531.584196584384,2536.5327825579307,5068.116979142314
2017,2520.84424617722,2533.1373361383316,5053.981582315551
